module_id,module_title,module_summary,module_required_hours,module_fee,module_order,minimum_hours_for_certification,minimum_clinical_hours,skill_names,section_id,section_title,section_description,resource_id,resource_title,resource_type,resource_duration,resource_description,resource_content,resource_url,resource_question_count,resource_passing_score
"cdphe-m1","Module 1: Introduction","Introduces the CNA role, certification expectations, regulations, professionalism, ethics, and confidentiality based on the CDPH 276C outline.",2,64,1,2,0,"Professionalism|Ethics|Confidentiality","cdphe-m1-a","Roles and responsibilities of a Certified Nurse Assistant (CNA)","CDPH 276C topic area for Module 1.","cdphe-m1-a-r1","Roles and responsibilities of a Certified Nurse Assistant (CNA)","text","24 min","Module 1 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 1: Roles and responsibilities of a Certified Nurse Assistant (CNA).","","",""
"cdphe-m1","Module 1: Introduction","Introduces the CNA role, certification expectations, regulations, professionalism, ethics, and confidentiality based on the CDPH 276C outline.",2,64,1,2,0,"Professionalism|Ethics|Confidentiality","cdphe-m1-b","Title 22, Division 5, California Code of Regulations, overview","CDPH 276C topic area for Module 1.","cdphe-m1-b-r1","Title 22, Division 5, California Code of Regulations, overview","text","24 min","Module 1 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 1: Title 22, Division 5, California Code of Regulations, overview.","","",""
"cdphe-m1","Module 1: Introduction","Introduces the CNA role, certification expectations, regulations, professionalism, ethics, and confidentiality based on the CDPH 276C outline.",2,64,1,2,0,"Professionalism|Ethics|Confidentiality","cdphe-m1-c","Requirements for nurse assistant certification","CDPH 276C topic area for Module 1.","cdphe-m1-c-r1","Requirements for nurse assistant certification","text","24 min","Module 1 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 1: Requirements for nurse assistant certification.","","",""
"cdphe-m1","Module 1: Introduction","Introduces the CNA role, certification expectations, regulations, professionalism, ethics, and confidentiality based on the CDPH 276C outline.",2,64,1,2,0,"Professionalism|Ethics|Confidentiality","cdphe-m1-d","Professionalism","CDPH 276C topic area for Module 1.","cdphe-m1-d-r1","Professionalism","text","24 min","Module 1 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 1: Professionalism.","","",""
"cdphe-m1","Module 1: Introduction","Introduces the CNA role, certification expectations, regulations, professionalism, ethics, and confidentiality based on the CDPH 276C outline.",2,64,1,2,0,"Professionalism|Ethics|Confidentiality","cdphe-m1-e","Ethics and confidentiality","CDPH 276C topic area for Module 1.","cdphe-m1-e-r1","Ethics and confidentiality","text","24 min","Module 1 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 1: Ethics and confidentiality.","","",""
"cdphe-m2","Module 2: Patients' Rights","Covers resident rights, relevant California and federal regulations, and required instruction on preventing, recognizing, and reporting rights violations.",3,27,2,3,0,"Resident Rights|Reporting","cdphe-m2-a","Title 22 Section 72527","CDPH 276C topic area for Module 2.","cdphe-m2-a-r1","Title 22 Section 72527","text","45 min","Module 2 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 2: Title 22 Section 72527.","","",""
"cdphe-m2","Module 2: Patients' Rights","Covers resident rights, relevant California and federal regulations, and required instruction on preventing, recognizing, and reporting rights violations.",3,27,2,3,0,"Resident Rights|Reporting","cdphe-m2-b","Health and Safety Code Sections 1599.1, 1599.2, 1599.3","CDPH 276C topic area for Module 2.","cdphe-m2-b-r1","Health and Safety Code Sections 1599.1, 1599.2, 1599.3","text","45 min","Module 2 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 2: Health and Safety Code Sections 1599.1, 1599.2, 1599.3.","","",""
"cdphe-m2","Module 2: Patients' Rights","Covers resident rights, relevant California and federal regulations, and required instruction on preventing, recognizing, and reporting rights violations.",3,27,2,3,0,"Resident Rights|Reporting","cdphe-m2-c","Code of Federal Regulations Part 483 Sections 483.10, 483.12, 483.13, and 483.15","CDPH 276C topic area for Module 2.","cdphe-m2-c-r1","Code of Federal Regulations Part 483 Sections 483.10, 483.12, 483.13, and 483.15","text","45 min","Module 2 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 2: Code of Federal Regulations Part 483 Sections 483.10, 483.12, 483.13, and 483.15.","","",""
"cdphe-m2","Module 2: Patients' Rights","Covers resident rights, relevant California and federal regulations, and required instruction on preventing, recognizing, and reporting rights violations.",3,27,2,3,0,"Resident Rights|Reporting","cdphe-m2-d","Preventing, recognizing, and reporting residents' right violations","CDPH 276C topic area for Module 2.","cdphe-m2-d-r1","Preventing, recognizing, and reporting residents' right violations","text","45 min","Module 2 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 2: Preventing, recognizing, and reporting residents' right violations.","","",""
"cdphe-m3","Module 3: Interpersonal Skills","Builds core communication and relationship skills needed for patient, family, and team interactions.",2,91,3,2,0,"Communication|Family Interaction","cdphe-m3-a","Communications","CDPH 276C topic area for Module 3.","cdphe-m3-a-r1","Communications","text","24 min","Module 3 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 3: Communications.","","",""
